gene_name,task_id
PSKH1,243114c9-167d-4213-a9c7-c9cc0f78692c
IRAK1,65bb5ce0-7eae-4f7f-b669-a64be3c91751
IRAK2,bfc78bef-8ce9-47e6-820e-00e462f8053d
IRAK3,aff57cbd-bf96-4755-b5fd-26ff82de4948
IRAK4,09887fdb-0030-497d-9efe-5bb68ccf9711
TAOK1,f736807c-449f-479c-b0e4-29f8ad654078
CHEK2,39be4e47-9657-4390-a7c9-88a50cf4753b
RIPK1,1857cb6d-1f89-43ba-b2b9-10982b9785cd
RIPK2,70110b0c-568d-4834-9377-2937575bdb9e
RIPK3,d0aaa27b-d911-438a-9d38-57d0c1543e7c
RIPK4,9a7d0bb7-df2b-4c12-a0c1-cf865d23aa18
JAK1,9de25149-f5af-463f-8b35-d96f7f5aff3a
JAK2,a83e1674-a37e-45c5-988f-bf373f67ade1
JAK3,0342c7b9-0b03-4d68-a506-05263805e1e1
TYK2,c1bdb03b-a69b-4a75-95f1-9d39020d1cd9
TRPM6,22707acf-b5a9-48fd-9fec-7f243df93ea4
TRPM7,bc578673-624d-4d57-8795-a18b86ab1859
TLK1,06c5afce-165b-4792-b053-8bc43c2688db
TLK2,8d9a2944-2252-4a61-8093-bb6d19c266b6
LIMK1,ea36e50e-40a4-415a-a791-676a0b530a39
LIMK2,aaa4da97-a57d-47ad-9225-262eb80af2a1
ETK,4a5febbe-18b5-42fc-9665-d35d58e867f9
BTK,99751cfd-10de-4f16-9e49-52dfdac5a877
ITK,da291784-2367-47cd-a5c2-b8a2e7e18993
TEC,26612dd8-e9c1-4109-ba05-c19cadff6710
TXK,54f42df0-58f7-4323-8f72-f19a48635732
ABL1,2317448f-d15d-4ff6-a545-4b63c80d2fc7
ABL2,ce9e2ab0-2fb0-4ea5-afb7-bf41f2accdcd
FRK,8b06d543-6895-4326-997c-556f51219475
FGR,c1889be7-849b-4787-8e0d-4e40765580e1
FYN,f3e52df2-35fb-4e54-a589-1e13c306be06
SRC,2f8745d3-31cd-486d-8c05-5abac00fcc52
YES1,bae450ac-79ef-401e-8a17-d4cb4bf5d085
BLK,d3e1f5d8-5844-4efe-8710-0121b8e44ed1
HCK,ad11df39-561f-4aa7-b253-808136f16103
LCK,4e4318d6-3541-45fd-8c93-1495f6022754
LYN,a46fe96b-e9d8-48cc-bb1b-429d58cf45be
ABL1,36db6938-5ab8-4086-ae66-1340c05e7240
ABL2,92d91d72-f1e0-4445-9bb8-786325031eff
CSK,d157a889-7869-49c5-9b4a-3157f1c71aa0
MATK,e772b99a-8600-4e99-8a6d-84346e0ba7c9
MAPK1,0b468194-6e0a-4fa0-8214-7d6aaa790fe9
MAPK3,03cbb2cc-7cad-44b3-b5d7-d0c27dbf5653
MAPK4,804e9edf-b6fe-4c19-9d91-dcf47d1aeb25
MAPK6,2373b891-1216-421a-92ba-ede0f1888e92
MAPK7,695d5b59-8672-41db-a267-8f890140cd14
MAPK15,6e1baf14-dcf3-47af-8fbd-16878f134a41
MAPK8,241d7dc8-9402-4307-bfd7-646fdeb071bd
MAPK9,d832077e-45e0-4091-9fda-831b49c1c34d
MAPK10,5b7eb417-ea23-42d8-80c5-d79400fa60aa
RPS6KB1,fb6921a2-7883-4584-afcc-d1d2356a7dd4
RPS6KB2,9f10ea6c-99b3-46f8-9bb3-d487017fd737
EIF2AK4,a2caf161-97a4-4f76-b103-b4063fa36d19
ATM,62e5c519-d920-469b-a0c7-177d7e1364be
MTOR,21372991-ddf0-411b-a4e1-9e764b450f23
CDK1,48c99ddb-172d-44f6-8ed0-8ed496d36c54
CDK2,67ed7922-358b-49a6-b853-fd7736022b14
CDK3,f30f9657-f349-4655-a0c9-9fb60dc4ee34
CDK4,edd5c19e-4685-4ade-9733-a192b39926bf
CDK5,de9b6e5d-c258-4fcd-977c-9646c754ad8b
CDK6,b6227a61-dc5a-406e-8321-4abcd86363f5
CDK7,07be4ef2-43b7-435c-90d1-c08cd6127037
CDK9,89acab7c-067a-4e14-985a-da1eef61ad99
CDK10,44ffd629-e47c-430d-9405-a4bdca9c0551
CDK14,0e8c2a5d-133e-44fe-a716-e086cb3d5bd8
CDK15,1a2428c6-0a69-4200-92a7-ad6d92b8ea01
CDK16,1082563b-0abe-4adf-8912-810727ad2f0f
CDK17,cca7819a-4b0b-4a8b-bd4b-fef3436c0f73
CDK18,520796eb-cc26-4faa-9fe8-627f578b08b6
CDK20,46b51de2-acf7-440a-a433-c8516d00cc12
FN3K,04cbb1a8-9cd6-4219-85c8-803dc07e63e6
DCLK1,fdbc0347-986a-4d3c-a818-dad61e27213d
DCLK2,94e983d3-51f3-4d65-bb38-113891466105
BRSK1,11bdcb79-f5a1-4ff6-8add-7884d9a2fe5a
BRSK2,8ccc8bfa-ef00-454e-af5d-9318c03592e6
FAM20C,2015ebd5-1a0d-4ccf-ab94-bb4d9bd33511
PRKAA1,0d0a0577-a183-4ba7-b186-7d905204b8d7
MAPK11,30ce871c-a920-4c5d-90de-5aafcd61c577
MAPK12,c8b4fa4d-4ecb-45ac-99d8-1f50df3125e9
MAPK13,763c59b3-87e4-4f41-b0b7-5935832ce5d0
MAPK14,946c90ac-d292-4b19-bf13-a4da3afa85fa
PRKAA2,95c43baf-bbb1-49f2-927d-8d7bba00f83b
SGK1,6755fe85-5dcb-4705-87ed-d6372f3a5455
