protein,task_id
AKT1 (PKBα),6de816b4-67b0-4fcc-9965-6e837ff1f876
AKT2 (PKBβ),54eded51-7eaa-4adc-a1d3-0ff5dbf173bc
AKT3 (PKBγ),8580168c-474c-4c2e-b5b7-bf5de30f3f91
CIT (CRIK),9ce1e7b5-e2f5-42ed-8d3a-2f56baf320f5
CDC42BPA (MRCKα),b8fe4e54-d3fe-417a-8422-9a606c303548
CDC42BPB (MRCKβ),6adcb969-6e6a-45df-abd8-b9469534fbbf
CDC42BPG (DMPK2),ee87788b-51b4-4068-a794-56a7e546139a
DMPK,cb91006a-b2cd-47cb-8553-62382bd458cc
ROCK1,794217a7-146e-423f-b400-025fc3b703f8
ROCK2,dfe9de53-c8ca-4536-ad2b-c8f873363f00
GRK2 (BARK1),3539b74a-34fd-475d-a4c4-62b39748e27d
GRK3 (BARK2),0194f3e5-0e80-4063-8e40-54acaf8dd179
GRK1 (RHOK),d67dd24e-0dad-4df6-b3db-be749ca4c889
GRK4,f5116959-1c67-43f7-aac4-9814500947e2
GRK5,0c6ccbe2-095f-4f7d-9509-d5abbe67a863
GRK6,54c23dcc-e1c0-4924-9763-dff484fceef6
GRK7,1503a4e3-758f-4057-94a7-7143b8d40611
MAST1,042f5ac5-70f6-47f9-b4e7-dac17af2a560
MAST2,d6e7b61a-bb5c-4b28-896e-16e9d39a9632
MAST3,fc37e3f2-0277-48cb-ae76-490a6687eeee
MAST4,09478a84-536c-4ad9-bd92-934c8a932814
MASTL,21d30a3b-be49-47b9-b5e1-2a6d5ca10f23
LATS1,becf26e1-7eb2-4591-870b-60e41bb4fbd4
LATS2,3c4eb6ba-2d88-4676-abae-327263ec7ff7
STK38 (NDR1),c561612f-85b0-4e3c-91d7-0409d78987ad
STK38L (NDR2),92f04166-552b-4e11-b716-6d92f919ae0d
PDPK1,c3cef770-d54b-4185-a13c-39405ccbd42f
PDPK2P,fb3c6332-459b-49c8-b62b-a1deec352532
PRKACA (PKAα),f32028ad-4aac-4071-aa55-369c17bdd538
PRKACB (PKAβ),544f2ddd-1315-4d8e-ac7a-7b2fefcd4151
PRKACG (PKAγ),50c74fa3-4946-481f-96ea-f3040f35cfdb
PRKX,39c99d7c-d1a1-4ec1-a450-4c9d7b8f25fe
PRKY,f7bfb06f-e9c2-401a-90f1-271ee480396b
PRKCA (PKCα),698a36c7-61ad-4d00-ab54-c9760d6097ee
PRKCB (PKCβ),a03b9f7e-dceb-4a52-ac1a-55e4971ab1f0
PRKCG (PKCγ),e7cb233c-b6a3-4cca-93c7-7ab245ae54e8
PRKCD (PKCδ),0e3f4e55-c82f-488d-8b21-dc3ed019bdd9
PRKCQ (PKCθ),82343249-3292-437e-bd34-0bc0a0b17d69
PRKCE (PKCε),4dee1278-2d99-44ec-aeee-8080ad9c2577
PRKCH (PKCη),0df643a1-f15c-479f-a913-27d46292c0f8
PRKCI (PKCι),e7940f3f-1a45-4f3d-973f-a73a113e0f97
PRKCZ (PKCζ),17e7f8e8-21c8-46c7-876f-f1fb2d359923
PRKG1 (PKG1),7ea1ec29-ab8b-4ab6-b511-527ce6c464ec
PRKG2 (PKG2),f1971a63-1eb4-4de7-a3d4-6b7c81f03015
PKN1 (PRK1),cdd73456-f0bf-420b-b773-64872de384fc
PKN2 (PRK2),2160d234-d80a-435c-ac62-10ba4d18a48d
PKN3,81cfc269-2793-4970-a6a4-4ff2d168dae6
RPS6KA4 (MSK2),7ad64592-6645-43ab-8740-8382bacf5472
RPS6KA5 (MSK1),49c5c73e-dc79-4413-92de-a56104d932c3
RPS6KA1 (RSK1),622e838a-0a75-4c0b-a4e6-5677ef70267e
RPS6KA2 (RSK3),7fc21fd3-9848-47fe-8caf-35a72f6e6bea
RPS6KA3 (RSK2),53e859d2-b819-42ec-9c45-871482dde1f2
RPS6KA6 (RSK4),e970af8e-debe-4a3b-a3ca-8bd3210a9618
RPS6KC1 (RSKL1),4f1624a3-7ecf-4b55-b96a-1dba16b88e2f
RPS6KL1 (RSKL2),d401464b-79d1-406c-aea4-9e19ce6fded5
